[15:30:54] INFO | Jogo Ren'Py detectado.
[15:30:54] INFO | 0 scripts encontrados.
[15:30:54] INFO | 59 scripts compilados.
[15:30:54] INFO | 1 arquivos RPA encontrados.
[15:30:54] INFO | Projeto 'teste' criado.
[15:59:33] INFO | 0 diálogos encontrados.
[15:59:42] INFO | Jogo Ren'Py detectado.
[15:59:42] INFO | 0 scripts encontrados.
[15:59:42] INFO | 59 scripts compilados.
[15:59:42] INFO | 1 arquivos RPA encontrados.
[15:59:42] INFO | 0 scripts .rpy copiados.
[15:59:42] WARNING | Existem arquivos .rpa, mas 'unrpa' não está disponível. Instale com: pip install unrpa
[15:59:42] WARNING | Existem arquivos .rpyc compilados, mas 'unrpyc_path' não está configurado. Baixe o unrpyc em https://github.com/CensoredUsername/unrpyc e configure o caminho em Configurações.
[15:59:42] INFO | Processo de extração finalizado.
[16:00:14] INFO | Jogo Ren'Py detectado.
[16:00:14] INFO | 0 scripts encontrados.
[16:00:14] INFO | 59 scripts compilados.
[16:00:14] INFO | 1 arquivos RPA encontrados.
[16:00:14] INFO | 0 scripts .rpy copiados.
[16:00:15] WARNING | Existem arquivos .rpa, mas 'unrpa' não está disponível. Instale com: pip install unrpa
[16:00:15] WARNING | Existem arquivos .rpyc compilados, mas 'unrpyc_path' não está configurado. Baixe o unrpyc em https://github.com/CensoredUsername/unrpyc e configure o caminho em Configurações.
[16:00:15] INFO | Processo de extração finalizado.
[16:00:18] INFO | 0 diálogos encontrados.
[16:10:24] INFO | Jogo Ren'Py detectado.
[16:10:24] INFO | 0 scripts encontrados.
[16:10:24] INFO | 59 scripts compilados.
[16:10:24] INFO | 1 arquivos RPA encontrados.
[16:10:24] INFO | 0 scripts .rpy copiados.
[16:10:24] INFO | Extraindo archive.rpa
[16:10:26] INFO | Extração concluída.
[16:10:26] WARNING | Existem arquivos .rpyc compilados, mas 'unrpyc_path' não está configurado. Baixe o unrpyc em https://github.com/CensoredUsername/unrpyc e configure o caminho em Configurações.
[16:10:26] INFO | Processo de extração finalizado.
